"Notes","County","County Code",Births,Total Population,Birth Rate,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average Age of Mother,Standard Deviation for Average Age of Mother,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
,"Faulkner County, AR","05045",1545,123654,12.49,28867,53.52,3284.37,636.96,27.48,5.26,38.42,2.86,38.38,2.19
,"Pulaski County, AR","05119",5259,393956,13.35,80802,65.09,3185.21,616.28,27.82,5.64,38.80,2.93,38.27,2.24
,"Saline County, AR","05125",1275,119323,10.69,22675,56.23,3276.52,605.84,28.22,5.36,38.87,2.83,38.28,2.22
,"Sebastian County, AR","05131",1828,128107,14.27,24923,73.35,3237.79,593.19,26.96,5.60,38.43,2.60,38.25,2.09
,"Washington County, AR","05143",3199,231996,13.79,52874,60.50,3285.66,568.64,27.74,5.89,38.66,2.48,38.45,1.96
,"Unidentified Counties, AR","05999",20701,1740943,11.89,312778,66.18,3210.78,604.64,26.11,5.47,38.49,2.71,38.24,2.17
,"Alameda County, CA","06001",18888,1663190,11.36,359950,52.47,3275.17,575.01,31.47,5.53,38.76,2.14,38.65,2.04
,"Butte County, CA","06007",2386,229294,10.41,46364,51.46,3339.08,566.72,28.79,5.63,38.87,2.07,38.80,1.96
,"Contra Costa County, CA","06013",12180,1147439,10.61,220940,55.13,3304.55,580.78,30.87,5.68,38.76,2.23,38.62,2.06
,"El Dorado County, CA","06017",1570,188987,8.31,29671,52.91,3315.50,565.71,30.05,5.61,38.94,1.96,38.81,1.85
,"Fresno County, CA","06019",14541,989255,14.70,205524,70.75,3286.95,579.04,28.25,5.92,38.58,2.18,38.53,2.12
,"Humboldt County, CA","06023",1372,136754,10.03,28313,48.46,3382.60,583.70,29.16,5.68,39.11,2.30,38.96,2.00
,"Imperial County, CA","06025",2894,182830,15.83,34468,83.96,3328.15,547.19,27.73,5.85,39.04,1.97,38.66,2.00
,"Kern County, CA","06029",13326,893119,14.92,179926,74.06,3274.54,587.00,27.57,5.83,38.65,2.25,38.55,2.10
,"Kings County, CA","06031",2373,150101,15.81,28762,82.50,3332.21,578.16,27.57,5.72,38.73,2.08,38.55,1.94
,"Los Angeles County, CA","06037",116950,10163507,11.51,2169299,53.91,3259.04,560.32,30.11,6.05,38.64,2.14,38.56,2.00
,"Madera County, CA","06039",2120,156890,13.51,33310,63.64,3319.43,564.29,27.98,6.11,38.80,2.00,38.71,1.87
,"Marin County, CA","06041",2237,260955,8.57,39144,57.15,3352.58,534.60,33.09,5.47,39.00,1.79,38.89,1.73
,"Merced County, CA","06047",4202,272673,15.41,56535,74.33,3294.53,582.07,27.94,5.90,38.64,2.13,38.48,2.10
,"Monterey County, CA","06053",5810,437907,13.27,86495,67.17,3342.74,566.94,28.66,6.05,38.81,2.11,38.73,1.98
,"Napa County, CA","06055",1291,140973,9.16,25932,49.78,3348.74,591.84,30.51,5.86,38.87,2.22,38.70,2.08
,"Orange County, CA","06059",37369,3190400,11.71,641608,58.24,3295.73,539.75,30.80,5.68,38.73,1.94,38.65,1.82
,"Placer County, CA","06061",3689,386166,9.55,67774,54.43,3378.93,573.29,30.77,5.43,38.85,2.00,38.80,1.94
,"Riverside County, CA","06065",29857,2423266,12.32,490435,60.88,3292.58,571.31,28.85,5.87,38.65,2.14,38.55,2.03
,"Sacramento County, CA","06067",19202,1530615,12.55,315902,60.78,3319.86,596.73,29.39,5.72,38.76,2.20,38.65,2.06
,"San Bernardino County, CA","06071",29643,2157404,13.74,455176,65.12,3260.00,569.51,28.50,5.90,38.53,2.17,38.47,2.08
,"San Diego County, CA","06073",41230,3337685,12.35,693653,59.44,3307.53,562.78,29.99,5.84,38.74,2.05,38.67,1.98
,"San Francisco County, CA","06075",8947,884363,10.12,206510,43.32,3271.56,542.98,32.96,5.13,38.84,1.94,38.76,1.87
,"San Joaquin County, CA","06077",9928,745424,13.32,150813,65.83,3283.19,589.01,28.62,5.81,38.61,2.26,38.50,2.13
,"San Luis Obispo County, CA","06079",2550,283405,9.00,53627,47.55,3371.53,539.49,30.13,5.67,38.90,1.99,38.82,1.88
,"San Mateo County, CA","06081",8585,771410,11.13,150224,57.15,3279.04,559.16,32.30,5.38,38.75,2.01,38.65,1.93
,"Santa Barbara County, CA","06083",5531,448150,12.34,95117,58.15,3291.98,560.00,28.94,6.09,38.66,2.08,38.58,1.99
,"Santa Clara County, CA","06085",22133,1938153,11.42,394059,56.17,3268.03,547.31,31.53,5.28,38.72,1.94,38.66,1.89
,"Santa Cruz County, CA","06087",2658,275897,9.63,57595,46.15,3356.12,588.28,30.47,5.95,38.95,2.27,38.79,2.08
,"Shasta County, CA","06089",2008,179921,11.16,30933,64.91,3329.18,586.91,28.17,5.55,38.79,2.16,38.74,2.01
,"Solano County, CA","06095",5131,445458,11.52,85690,59.88,3328.60,587.49,29.43,5.73,38.85,2.15,38.72,2.05
,"Sonoma County, CA","06097",4642,504217,9.21,92041,50.43,3379.52,558.81,30.48,5.65,38.98,1.99,38.86,1.90
,"Stanislaus County, CA","06099",7441,547899,13.58,111114,66.97,3323.73,580.57,28.35,5.71,38.77,2.16,38.63,1.98
,"Tulare County, CA","06107",7130,464493,15.35,95748,74.47,3298.95,571.33,27.64,5.93,38.67,2.32,38.53,2.06
,"Ventura County, CA","06111",9318,854223,10.91,164856,56.52,3327.44,547.91,29.90,5.91,38.76,2.00,38.67,1.92
,"Yolo County, CA","06113",2272,219116,10.37,55037,41.28,3371.52,578.84,30.03,5.90,38.95,2.09,38.84,1.97
,"Unidentified Counties, CA","06999",10254,935114,10.97,152087,67.42,3313.65,572.65,28.32,5.71,38.84,2.20,38.72,1.97
,"Adams County, CO","08001",6610,503167,13.14,107133,61.70,3198.41,551.00,28.69,5.78,38.72,2.35,38.62,1.98
,"Arapahoe County, CO","08005",7574,643052,11.78,132866,57.00,3181.96,558.84,29.72,5.63,38.61,2.41,38.60,2.05
,"Boulder County, CO","08013",2627,322514,8.15,69117,38.01,3252.12,531.68,31.37,5.64,38.91,2.01,38.91,1.81
,"Denver County, CO","08031",9594,704621,13.62,171611,55.91,3183.81,558.84,30.16,5.88,38.75,2.40,38.72,2.05
,"Douglas County, CO","08035",3368,335299,10.04,64010,52.62,3215.52,543.67,31.46,4.92,38.56,2.24,38.54,1.90
,"El Paso County, CO","08041",9493,699232,13.58,142891,66.44,3154.66,570.20,28.25,5.51,38.53,2.48,38.40,2.16
,"Jefferson County, CO","08059",5819,574613,10.13,108300,53.73,3218.26,550.96,30.61,5.38,38.79,2.18,38.82,1.95
,"Larimer County, CO","08069",3313,343976,9.63,74138,44.69,3210.64,568.75,29.87,5.39,38.57,2.28,38.56,1.99
,"Mesa County, CO","08077",1624,151616,10.71,28244,57.50,3223.00,530.68,27.85,5.70,38.83,2.27,38.69,1.83
,"Pueblo County, CO","08101",1776,166475,10.67,30807,57.65,3109.73,588.74,27.14,5.70,38.37,2.42,38.38,2.14
,"Weld County, CO","08123",4250,304633,13.95,62470,68.03,3241.30,566.12,28.22,5.52,38.72,2.33,38.67,2.06
,"Unidentified Counties, CO","08999",8334,857956,9.71,146158,57.02,3175.21,542.83,28.75,5.91,38.69,2.35,38.60,1.99
,"Fairfield County, CT","09001",9904,949921,10.43,176551,56.10,3296.75,588.39,31.44,5.56,38.77,2.37,38.62,2.07
,"Hartford County, CT","09003",9204,895388,10.28,170046,54.13,3246.98,601.19,29.99,5.55,38.61,2.56,38.42,2.27
,"Litchfield County, CT","09005",1402,182177,7.70,28478,49.23,3326.81,601.55,30.25,5.33,38.90,2.33,38.70,2.04
,"Middlesex County, CT","09007",1255,163410,7.68,28003,44.82,3354.08,554.14,31.42,5.02,38.90,2.20,38.77,1.79
,"New Haven County, CT","09009",8641,860435,10.04,168352,51.33,3254.54,605.50,29.85,5.67,38.80,2.62,38.58,2.27
,"New London County, CT","09011",2603,269033,9.68,47922,54.32,3329.54,589.00,29.45,5.40,38.85,2.24,38.67,2.01
,"Tolland County, CT","09013",1139,151461,7.52,31879,35.73,3352.97,582.20,30.70,4.91,38.85,2.16,38.70,1.87
,"Windham County, CT","09015",1073,116359,9.22,21718,49.41,3270.73,604.08,28.72,5.59,38.68,2.56,38.48,2.18
,"Kent County, DE","10001",2121,176824,11.99,35006,60.59,3257.20,624.91,28.01,5.72,38.67,2.72,38.45,2.20
,"New Castle County, DE","10003",6431,559793,11.49,112335,57.25,3253.67,611.55,29.34,5.61,38.56,2.75,38.47,2.24
,"Sussex County, DE","10005",2303,225322,10.22,33002,69.78,3279.61,607.50,28.04,5.72,38.51,2.62,38.52,2.12
,"District of Columbia, DC","11001",9560,693972,13.78,186464,51.27,3202.25,636.54,30.41,6.15,38.49,2.67,38.51,2.40
,"Alachua County, FL","12001",2824,266944,10.58,68174,41.42,3203.21,622.02,28.93,5.62,38.50,2.78,38.32,2.33
,"Bay County, FL","12005",2315,183563,12.61,33560,68.98,3289.99,593.06,27.71,5.55,38.68,2.42,38.45,2.01
,"Brevard County, FL","12009",5201,589162,8.83,93393,55.69,3271.27,581.74,28.57,5.59,38.71,2.40,38.50,2.01
,"Broward County, FL","12011",22322,1935878,11.53,374212,59.65,3189.79,591.17,30.16,5.78,38.41,2.52,38.33,2.18
,"Charlotte County, FL","12015",1060,182033,5.82,19845,53.41,3223.87,604.47,27.59,5.82,38.46,2.61,38.35,2.16
,"Citrus County, FL","12017",1108,145647,7.61,17238,64.28,3263.66,598.28,26.62,5.52,38.67,2.65,38.48,2.15
,"Clay County, FL","12019",2197,212230,10.35,40294,54.52,3278.82,600.48,28.41,5.72,38.48,2.37,38.35,2.09
,"Collier County, FL","12021",3182,372880,8.53,52349,60.78,3265.94,579.58,29.32,6.02,38.44,2.61,38.35,2.14
,"Duval County, FL","12031",13182,937934,14.05,196181,67.19,3199.37,617.22,28.29,5.68,38.45,2.77,38.29,2.39
,"Escambia County, FL","12033",3954,313512,12.61,60722,65.12,3195.34,619.71,27.38,5.63,38.35,2.80,38.17,2.25
,"Hernando County, FL","12053",1552,186553,8.32,28597,54.27,3259.19,603.32,27.66,5.57,38.76,2.67,38.41,2.26
,"Hillsborough County, FL","12057",17416,1408566,12.36,295742,58.89,3221.31,593.64,28.76,5.78,38.58,2.64,38.40,2.21
,"Indian River County, FL","12061",1277,154383,8.27,20951,60.95,3267.95,619.05,28.70,5.85,38.60,2.61,38.38,2.09
,"Lake County, FL","12069",3265,346017,9.44,55261,59.08,3253.90,597.77,28.15,5.73,38.52,2.59,38.33,2.14
,"Lee County, FL","12071",6681,739224,9.04,114612,58.29,3252.11,581.77,28.47,5.77,38.54,2.58,38.40,2.12
,"Leon County, FL","12073",3132,290292,10.79,76272,41.06,3214.11,630.26,28.54,5.73,38.57,2.70,38.41,2.31
,"Manatee County, FL","12081",3476,385571,9.02,59298,58.62,3275.26,593.60,28.23,5.80,38.71,2.59,38.49,2.05
,"Marion County, FL","12083",3496,354353,9.87,54653,63.97,3225.98,597.76,27.28,5.63,38.60,2.57,38.44,2.13
,"Martin County, FL","12085",1271,159923,7.95,20826,61.03,3298.89,554.21,28.92,5.83,38.98,2.45,38.72,1.89
,"Miami-Dade County, FL","12086",31818,2751796,11.56,544287,58.46,3213.82,568.70,29.89,5.78,38.35,2.54,38.36,2.07
,"Okaloosa County, FL","12091",2682,202970,13.21,37853,70.85,3263.33,574.73,27.96,5.34,38.52,2.42,38.31,1.92
,"Orange County, FL","12095",16890,1348975,12.52,306692,55.07,3228.33,597.93,29.26,5.80,38.47,2.65,38.35,2.25
,"Osceola County, FL","12097",4386,352180,12.45,74555,58.83,3237.95,567.77,28.42,5.73,38.60,2.45,38.43,1.99
,"Palm Beach County, FL","12099",15050,1471150,10.23,250148,60.16,3218.33,571.12,29.79,5.87,38.50,2.51,38.41,2.00
,"Pasco County, FL","12101",5140,525643,9.78,89674,57.32,3256.37,595.88,28.67,5.76,38.63,2.62,38.41,2.16
,"Pinellas County, FL","12103",8230,970637,8.48,159267,51.67,3259.39,609.22,29.09,5.72,38.68,2.62,38.53,2.20
,"Polk County, FL","12105",7849,686483,11.43,126954,61.83,3264.72,598.65,27.52,5.64,38.62,2.70,38.45,2.11
,"St. Johns County, FL","12109",2135,243812,8.76,41382,51.59,3324.77,563.34,30.54,5.39,38.85,2.35,38.64,1.94
,"St. Lucie County, FL","12111",3019,313506,9.63,52072,57.98,3257.13,579.48,28.47,5.83,38.61,2.57,38.54,1.96
,"Santa Rosa County, FL","12113",1924,174272,11.04,31073,61.92,3319.82,564.26,28.29,5.54,38.65,2.38,38.36,1.86
,"Sarasota County, FL","12115",2824,419119,6.74,52647,53.64,3312.13,594.05,29.16,5.80,38.74,2.46,38.59,2.09
,"Seminole County, FL","12117",4774,462659,10.32,93985,50.80,3276.42,584.74,29.89,5.55,38.63,2.59,38.47,2.12
,"Volusia County, FL","12127",4986,538692,9.26,88128,56.58,3255.93,625.61,28.15,5.74,38.65,2.72,38.43,2.26
,"Unidentified Counties, FL","12999",13012,1357841,9.58,197302,65.95,3241.29,602.61,27.15,5.73,38.50,2.70,38.30,2.19
,"Bartow County, GA","13015",1307,105054,12.44,20504,63.74,3282.12,582.54,27.10,5.55,38.49,2.71,38.37,1.98
,"Bibb County, GA","13021",2244,152862,14.68,31647,70.91,3074.93,641.86,27.07,5.78,38.39,2.93,38.00,2.46
,"Carroll County, GA","13045",1613,117812,13.69,25887,62.31,3280.46,577.08,26.99,5.57,38.73,2.62,38.61,2.04
,"Chatham County, GA","13051",3712,290501,12.78,63430,58.52,3177.39,639.35,28.21,5.66,38.41,2.79,38.18,2.40
,"Cherokee County, GA","13057",2582,247573,10.43,47912,53.89,3323.51,594.63,29.65,5.53,38.63,2.48,38.45,2.14
,"Clarke County, GA","13059",1386,127064,10.91,37265,37.19,3231.18,609.57,28.57,5.76,38.42,2.40,38.38,2.21
,"Clayton County, GA","13063",3813,285153,13.37,65423,58.28,3107.64,627.32,27.74,5.83,38.38,3.05,38.15,2.63
,"Cobb County, GA","13067",9588,755754,12.69,161417,59.40,3233.49,605.77,30.04,5.73,38.66,2.56,38.42,2.27
,"Columbia County, GA","13073",1666,151579,10.99,30715,54.24,3301.36,594.94,29.45,5.29,38.79,2.62,38.42,2.23
,"Coweta County, GA","13077",1731,143114,12.10,28005,61.81,3256.12,595.32,28.52,5.55,38.51,2.67,38.26,2.01
,"DeKalb County, GA","13089",10933,753253,14.51,169122,64.65,3172.14,606.44,29.45,5.97,38.47,2.86,38.42,2.36
,"Douglas County, GA","13097",1729,143882,12.02,30812,56.11,3211.15,614.04,28.37,5.97,38.56,2.62,38.35,2.19
,"Fayette County, GA","13113",886,112549,7.87,19392,45.69,3239.11,597.60,30.37,5.60,38.58,2.49,38.42,2.03
,"Forsyth County, GA","13117",2302,227967,10.10,43965,52.36,3322.58,571.82,30.96,5.02,38.65,2.09,38.46,1.91
,"Fulton County, GA","13121",13363,1041423,12.83,239002,55.91,3159.23,592.94,29.87,5.86,38.63,2.70,38.38,2.26
,"Gwinnett County, GA","13135",11442,920260,12.43,195086,58.65,3230.25,586.11,29.81,5.85,38.43,2.52,38.41,2.14
,"Hall County, GA","13139",2616,199335,13.12,38209,68.47,3289.87,569.22,27.96,5.89,38.53,2.36,38.40,2.04
,"Henry County, GA","13151",2581,225813,11.43,48103,53.66,3186.61,622.34,28.34,5.81,38.47,2.82,38.21,2.39
,"Houston County, GA","13153",1908,153479,12.43,32132,59.38,3244.06,625.87,27.86,5.66,38.60,2.77,38.16,2.21
,"Lowndes County, GA","13185",1671,115489,14.47,27108,61.64,3195.21,584.69,27.13,5.48,38.39,2.56,38.23,2.04
,"Muscogee County, GA","13215",2791,194058,14.38,40469,68.97,3122.35,627.07,27.22,5.70,38.21,2.99,37.99,2.50
,"Paulding County, GA","13223",1602,159445,10.05,33370,48.01,3311.38,572.43,28.55,5.48,38.73,2.42,38.44,2.00
,"Richmond County, GA","13245",3003,201800,14.88,42906,69.99,3123.47,627.91,27.08,5.56,38.51,2.90,38.17,2.44
,"Whitfield County, GA","13313",1357,104658,12.97,20343,66.71,3275.76,577.17,26.98,5.83,38.64,2.54,38.30,2.04
,"Unidentified Counties, GA","13999",41417,3499502,11.84,655175,63.22,3197.97,616.21,26.82,5.61,38.34,2.75,38.17,2.23
,"Hawaii County, HI","15001",2290,200381,11.43,34526,66.33,3219.31,576.15,28.70,5.96,38.68,2.61,38.46,2.08
,"Honolulu County, HI","15003",12487,988650,12.63,188638,66.20,3229.87,586.38,29.48,5.98,38.64,2.56,38.40,2.14
,"Maui County, HI","15009",1883,166260,11.33,30190,62.37,3231.44,580.81,29.25,5.99,38.87,2.63,38.50,2.05
,"Unidentified Counties, HI","15999",857,72247,11.86,12570,68.18,3232.84,588.10,29.28,6.00,38.88,2.66,38.59,2.18
,"Ada County, ID","16001",4842,456849,10.60,91246,53.07,3336.35,564.44,29.38,5.46,38.89,2.31,38.69,1.86
,"Bonneville County, ID","16019",1876,114595,16.37,22646,82.84,3211.42,563.00,27.78,5.34,38.25,2.56,38.29,2.08
,"Canyon County, ID","16027",3065,216699,14.14,43582,70.33,3313.61,582.52,27.54,5.62,38.78,2.53,38.51,2.01
,"Kootenai County, ID","16055",1811,157637,11.49,28400,63.77,3367.05,544.22,28.33,5.48,38.99,2.22,38.74,1.77
,"Unidentified Counties, ID","16999",10587,771163,13.73,143067,74.00,3293.88,563.40,27.43,5.50,38.73,2.39,38.60,2.02
,"Champaign County, IL","17019",2295,209399,10.96,52159,44.00,3289.29,590.80,28.94,5.48,38.60,2.62,38.42,2.23
,"Cook County, IL","17031",64374,5211263,12.35,1106885,58.16,3233.53,601.56,29.79,5.96,38.57,2.61,38.43,2.24
,"DeKalb County, IL","17037",1142,104733,10.90,24988,45.70,3302.04,583.90,28.59,5.33,38.53,2.54,38.32,2.16
,"DuPage County, IL","17043",10337,930128,11.11,176077,58.71,3305.99,567.03,31.15,5.16,38.71,2.32,38.52,1.95
,"Kane County, IL","17089",6339,534667,11.86,103194,61.43,3319.70,588.72,29.46,5.86,38.55,2.49,38.37,2.03
,"Kankakee County, IL","17091",1289,109605,11.76,21120,61.03,3193.05,648.53,27.80,5.50,38.33,2.94,38.15,2.51
,"Kendall County, IL","17093",1481,126218,11.73,26801,55.26,3347.17,573.81,30.46,5.14,38.64,2.35,38.44,2.04
,"Lake County, IL","17097",7607,703520,10.81,130858,58.13,3285.25,593.09,30.15,5.76,38.62,2.49,38.43,2.06
,"LaSalle County, IL","17099",1180,110067,10.72,18482,63.85,3297.00,601.94,27.52,5.64,38.70,2.42,38.39,2.05
,"McHenry County, IL","17111",3185,309122,10.30,55984,56.89,3354.09,555.67,30.13,5.24,38.67,2.08,38.52,1.72
,"McLean County, IL","17113",2004,172290,11.63,40509,49.47,3290.72,618.04,29.23,5.36,38.53,2.51,38.37,2.15
,"Macon County, IL","17115",1298,105801,12.27,19662,66.02,3242.81,624.19,26.94,5.35,38.34,2.55,38.28,2.30
,"Madison County, IL","17119",2892,265428,10.90,50085,57.74,3260.00,602.36,28.34,5.44,38.48,2.50,38.33,2.14
,"Peoria County, IL","17143",2533,183011,13.84,35683,70.99,3230.14,650.95,27.78,5.69,38.41,2.95,38.24,2.51
,"Rock Island County, IL","17161",1668,144808,11.52,25869,64.48,3279.09,586.51,27.75,5.73,38.78,2.66,38.44,2.11
,"St. Clair County, IL","17163",3221,262479,12.27,50836,63.36,3201.58,616.27,27.97,5.63,38.42,2.77,38.25,2.44
,"Sangamon County, IL","17167",2289,196452,11.65,37110,61.68,3198.39,612.21,28.30,5.70,38.34,2.72,38.15,2.29
,"Tazewell County, IL","17179",1450,133526,10.86,23592,61.46,3375.52,582.14,28.36,5.48,38.63,2.42,38.54,1.89
,"Will County, IL","17197",7427,692661,10.72,134914,55.05,3307.19,592.92,29.91,5.47,38.56,2.47,38.39,2.10
,"Winnebago County, IL","17201",3501,284778,12.29,52639,66.51,3245.48,608.81,27.71,5.61,38.51,2.80,38.31,2.27
,"Unidentified Counties, IL","17999",21878,2012067,10.87,344580,63.49,3293.74,597.94,27.51,5.43,38.57,2.55,38.33,2.08
,"Allen County, IN","18003",5206,372877,13.96,74361,70.01,3248.47,588.63,27.80,5.53,38.59,2.31,38.52,2.06
,"Clark County, IN","18019",1474,116973,12.60,22525,65.44,3311.57,581.77,27.75,5.30,38.52,2.35,38.44,2.00
,"Delaware County, IN","18035",1126,115184,9.78,25989,43.33,3263.91,591.84,26.99,5.36,38.51,2.20,38.39,2.13
,"Elkhart County, IN","18039",3087,205032,15.06,38901,79.36,3322.95,631.16,27.24,5.71,38.71,2.40,38.62,2.26
,"Hamilton County, IN","18057",3835,323747,11.85,64594,59.37,3332.54,574.12,31.07,4.73,38.56,2.28,38.51,2.02
,"Hendricks County, IN","18063",1720,163685,10.51,31366,54.84,3355.44,575.68,29.42,5.15,38.55,2.21,38.48,1.99
,"Johnson County, IN","18081",1814,153897,11.79,30472,59.53,3316.62,571.42,28.06,5.24,38.60,2.28,38.46,2.02
,"Lake County, IN","18089",5601,485640,11.53,92786,60.36,3256.09,621.80,28.13,5.72,38.53,2.60,38.48,2.39
,"La Porte County, IN","18091",1272,110029,11.56,18248,69.71,3253.38,604.78,27.27,5.67,38.51,2.52,38.41,2.13
,"Madison County, IN","18095",1396,129498,10.78,23223,60.11,3265.46,602.61,26.98,5.31,38.44,2.33,38.35,2.05
,"Marion County, IN","18097",14389,950082,15.15,208366,69.06,3214.27,613.63,28.00,5.74,38.42,2.54,38.36,2.29
,"Monroe County, IN","18105",1249,146986,8.50,39071,31.97,3388.94,593.97,28.94,5.34,38.88,2.35,38.82,2.10
,"Porter County, IN","18127",1642,168404,9.75,32066,51.21,3324.43,595.51,28.80,5.49,38.69,2.25,38.56,1.96
,"St. Joseph County, IN","18141",3497,270434,12.93,54872,63.73,3262.12,618.51,27.72,5.73,38.57,2.41,38.50,2.24
,"Tippecanoe County, IN","18157",2240,190587,11.75,45791,48.92,3263.25,610.46,28.41,5.51,38.57,2.55,38.44,2.23
,"Vanderburgh County, IN","18163",2128,181616,11.72,36180,58.82,3239.84,579.93,27.48,5.51,38.35,2.29,38.23,1.98
,"Vigo County, IN","18167",1224,107516,11.38,21285,57.51,3247.47,606.00,26.73,5.42,38.31,2.45,38.23,2.24
,"Unidentified Counties, IN","18999",29270,2474631,11.83,435526,67.21,3307.83,590.56,27.20,5.46,38.64,2.35,38.52,2.02
,"Black Hawk County, IA","19013",1732,132648,13.06,28495,60.78,3307.25,601.99,28.07,5.23,38.85,2.64,38.54,2.06
,"Johnson County, IA","19103",1751,149210,11.74,38435,45.56,3328.34,574.96,30.37,4.96,38.82,2.35,38.65,1.98
,"Linn County, IA","19113",2799,224115,12.49,44148,63.40,3372.50,591.62,28.77,5.27,38.65,2.58,38.56,2.03
,"Polk County, IA","19153",6943,481830,14.41,100140,69.33,3352.22,588.25,28.91,5.46,38.77,2.45,38.54,2.02
,"Scott County, IA","19163",2117,172509,12.27,32963,64.22,3308.26,608.63,28.38,5.38,38.63,2.51,38.40,2.07
,"Woodbury County, IA","19193",1416,102429,13.82,19849,71.34,3322.86,540.17,27.57,5.67,38.52,2.13,38.49,1.75
,"Unidentified Counties, IA","19999",21672,1882970,11.51,328248,66.02,3361.10,584.74,28.23,5.31,38.74,2.36,38.54,1.97
,"Douglas County, KS","20045",1134,120793,9.39,31180,36.37,3311.79,581.59,29.43,5.53,38.47,2.19,38.44,2.09
,"Johnson County, KS","20091",7223,591178,12.22,116721,61.88,3344.23,573.81,30.48,5.01,38.64,2.03,38.58,1.93
,"Sedgwick County, KS","20173",6924,513687,13.48,101561,68.18,3267.96,625.16,27.82,5.69,38.25,2.46,38.27,2.35
,"Shawnee County, KS","20177",2074,178187,11.64,32910,63.02,3270.58,632.00,27.69,5.58,38.30,2.50,38.28,2.39
,"Wyandotte County, KS","20209",2541,165288,15.37,33301,76.30,3237.40,582.35,27.27,5.77,38.38,2.20,38.41,2.10
