
<html>
 <head>
  <title>California Weather Data: Comma-delimited data file--UC IPM</title>
 </head>
 <body>
 <pre>
"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve <a href=#COLHDR>data in comma delimited data file format</a>"
" "
"Weather database request:  "
" "
"Time Period: March 1, 1998 to August 16, 2020, retrieved on August 17, 2020"
" (8205 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station SJ_VALLEY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation         7504          610            5           86            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Air Temps, max/min    7890          216           23           76            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Soil Temps, max/min   7897            0            0            0          308        "
"                     SJ_VALLEY.A  none         none         none         "
"Rel. Humidity         7841            0            0            0          364        "
"                     SJ_VALLEY.A  none         none         none         "
"ETo                   7969            0            0            0          236        "
"                     SJ_VALLEY.A  none         none         none         "
"Solar Radiation       7888          218            0           99            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   none         SANJOSE.A    "
"Wind Speed & Dir      7943            0            0            0          262        "
"                     SJ_VALLEY.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
<a name=COLHDR>" "</a>
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SJ_VALLEY.A,19980324,2359,0.41,,66,53,,,NE,6,,,62,59,,253,0.07,99.8,70.9,
SJ_VALLEY.A,19980325,2359,0.48,,66,47,,,NE,4,,,61,57,,375,0.10,100.0,57.4,
SJ_VALLEY.A,19980326,2359,0.00,,60,45,,,E,8,,,59,55,,353,0.10,100.0,67.2,
SJ_VALLEY.A,19980327,2359,0.23,,60,44,,,E,7,,,59,55,,402,0.12,97.0,67.3,
SJ_VALLEY.A,19980328,2359,0.17,,55,39,,,E,7,,,57,54,,414,0.10,95.3,57.2,
SJ_VALLEY.A,19980329,2359,0.00,,59,34,,,NE,4,,,57,51,,557,0.15,98.0,45.4,
SJ_VALLEY.A,19980330,2359,0.00,,63,35,,,NE,5,,,57,50,,582,0.15,99.4,51.0,
SJ_VALLEY.A,19980331,2359,0.23,,53,43,,,E,5,,,55,53,,194,0.04,95.1,75.1,
SJ_VALLEY.A,19980401,2359,0.00,,57,42,,,NE,5,,,56,52,,323,0.08,90.8,61.4,
SJ_VALLEY.A,19980402,2359,0.11,,59,48,,,NE,4,,,55,53,,189,0.05,97.7,55.2,
SJ_VALLEY.A,19980403,2359,0.30,,58,45,,,NE,4,,,56,53,,263,0.06,99.3,63.8,
SJ_VALLEY.A,19980404,2359,0.03,,58,43,,,E,4,,,56,53,,296,0.07,97.7,70.0,
SJ_VALLEY.A,19980405,2359,0.00,,62,41,,,E,6,,,57,52,,500,0.13,100.0,58.4,
SJ_VALLEY.A,19980406,2359,0.05,,58,46,,,E,6,,,58,54,,433,0.12,95.2,63.8,
SJ_VALLEY.A,19980407,2359,0.20,,58,41,,,E,6,,,56,53,,314,0.08,97.3,67.2,
SJ_VALLEY.A,19980408,2359,0.00,,61,36,,,NE,5,,,57,51,,606,0.16,98.8,47.4,
SJ_VALLEY.A,19980409,2359,0.00,,65,41,,,NE,5,,,58,52,,569,0.16,96.3,55.1,
SJ_VALLEY.A,19980410,2359,0.00,,63,43,,,E,5,,,58,53,,471,0.14,98.2,58.8,
SJ_VALLEY.A,19980411,2359,0.33,,56,43,,,E,5,,,56,54,,204,0.05,96.4,70.5,
SJ_VALLEY.A,19980412,2359,0.00,,57,39,,,E,6,,,57,51,,586,0.16,90.4,54.0,
SJ_VALLEY.A,19980413,2359,0.41,,57,42,,,E,7,,,57,53,,545,0.15,98.2,61.3,
SJ_VALLEY.A,19980414,2359,0.04,,58,37,,,NE,5,,,57,51,,633,0.16,99.7,53.5,
SJ_VALLEY.A,19980415,2359,0.00,,60,35,,,E,5,,,57,51,,620,0.17,100.0,56.6,
SJ_VALLEY.A,19980416,2359,0.00,,65,36,,,NE,4,,,58,51,,644,0.17,99.7,51.7,
SJ_VALLEY.A,19980417,2359,0.00,,68,37,,,NE,4,,,59,52,,648,0.18,99.5,34.8,
SJ_VALLEY.A,19980418,2359,0.00,,70,42,,,NE,4,,,59,53,,614,0.17,96.4,49.1,
SJ_VALLEY.A,19980419,2359,0.00,,70,41,,,NE,4,,,60,53,,634,0.18,100.0,59.3,
SJ_VALLEY.A,19980420,2359,0.00,,77,46,,,NE,4,,,62,55,,542,0.16,100.0,53.9,
SJ_VALLEY.A,19980421,2359,0.00,,87,48,,,NE,3,,,64,56,,627,0.20,99.7,45.4,
SJ_VALLEY.A,19980422,2359,0.00,,67,50,,,NE,8,,,62,58,,584,0.17,99.6,77.4,
SJ_VALLEY.A,19980423,2359,0.42,,66,48,,,NE,4,,,60,57,,310,0.07,99.9,64.0,
SJ_VALLEY.A,19980424,2359,0.00,,62,44,,,E,6,,,61,57,,479,0.14,100.0,67.1,
SJ_VALLEY.A,19980425,2359,0.00,,67,43,,,NE,5,,,61,56,,608,0.18,97.2,52.0,
SJ_VALLEY.A,19980426,2359,0.00,,76,42,,,NE,3,,,62,55,,614,0.19,99.5,47.8,
SJ_VALLEY.A,19980427,2359,0.00,,80,45,,,NE,3,,,63,56,,642,0.20,100.0,44.3,
SJ_VALLEY.A,19980428,2359,0.00,,84,46,,,NE,3,,,64,56,,623,0.20,100.0,44.4,
SJ_VALLEY.A,19980429,2359,0.00,,81,48,,,NE,5,,,64,57,,616,0.20,100.0,56.4,
SJ_VALLEY.A,19980430,2359,0.00,,69,52,,,NE,5,,,64,59,,610,0.19,97.7,58.9,
SJ_VALLEY.A,19980501,2359,0.01,,71,53,,,NE,8,,,62,58,,371,0.11,97.7,63.9,
SJ_VALLEY.A,19980502,2359,0.01,,67,49,,,NE,5,,,61,59,,335,0.09,99.1,67.2,
SJ_VALLEY.A,19980503,2359,0.07,,73,47,,,NE,4,,,61,57,,359,0.10,100.0,56.7,
SJ_VALLEY.A,19980504,2359,0.30,,67,55,,,NE,4,,,62,59,,370,0.09,100.0,76.8,
SJ_VALLEY.A,19980505,2359,0.25,,63,52,,,NE,4,,,60,59,,189,0.04,100.0,81.3,
SJ_VALLEY.A,19980506,2359,0.00,,67,53,,,NE,5,,,62,58,,467,0.13,100.0,67.9,
SJ_VALLEY.A,19980507,2359,0.00,,62,53,,,E,6,,,60,59,,263,0.06,97.9,80.3,
SJ_VALLEY.A,19980508,2359,0.00,,60,51,,,E,7,,,60,58,,225,0.05,96.0,80.8,
SJ_VALLEY.A,19980509,2359,0.00,,61,43,,,E,9,,,60,56,,676,0.20,97.8,63.0,
SJ_VALLEY.A,19980510,2359,0.00,,64,43,,,E,7,,,62,56,,689,0.20,98.3,59.9,
SJ_VALLEY.A,19980511,2359,0.01,,58,45,,,NE,4,,,59,56,,220,0.05,96.9,64.6,
SJ_VALLEY.A,19980512,2359,0.35,,57,47,,,NE,4,,,58,56,,252,0.05,99.0,76.6,
SJ_VALLEY.A,19980513,2359,0.07,,63,48,,,E,5,,,59,56,,389,0.11,98.9,67.9,
SJ_VALLEY.A,19980514,1500,0.00,,67,50,,,NE,7,,,,,,392,0.11,96.0,62.0,
SJ_VALLEY.A,19980515,2359,0.00,,67,41,,,NE,5,,,60,54,,627,0.18,100.0,55.7,
SJ_VALLEY.A,19980516,2359,0.00,,61,44,,,NE,7,,,60,55,,650,0.19,96.7,60.5,
SJ_VALLEY.A,19980517,2359,0.00,,69,40,,,NE,4,,,62,53,,715,0.20,99.1,44.1,
SJ_VALLEY.A,19980518,2359,0.01,,69,40,,,E,6,,,62,54,,715,0.22,100.0,46.1,
SJ_VALLEY.A,19980519,2359,0.00,,65,44,,,E,7,,,62,54,,710,0.21,99.2,59.3,
SJ_VALLEY.A,19980520,2359,0.00,,65,45,,,E,6,,,63,55,,646,0.20,92.5,58.3,
SJ_VALLEY.A,19980521,2359,0.00,,64,43,,,E,6,,,62,54,,636,0.18,97.2,60.1,
SJ_VALLEY.A,19980522,2359,0.02,,70,42,,,E,5,,,63,51,,706,0.21,99.8,51.2,
SJ_VALLEY.A,19980523,2359,0.00,,69,49,,,E,6,,,65,56,,673,0.20,98.4,65.1,
SJ_VALLEY.A,19980524,2359,0.00,,70,54,,,NE,6,,,65,58,,621,0.19,98.0,60.8,
SJ_VALLEY.A,19980525,2359,0.20,,64,50,,,E,8,,,63,58,,554,0.17,99.6,55.0,
SJ_VALLEY.A,19980526,2359,0.00,,63,41,,,E,6,,,62,53,,705,0.20,94.0,50.6,
SJ_VALLEY.A,19980527,2359,0.01,,74,42,,,NE,4,,,61,52,,385,0.12,97.5,45.8,
SJ_VALLEY.A,19980528,2359,0.40,,60,49,,,NE,5,,,59,57,,167,0.03,92.6,78.9,
SJ_VALLEY.A,19980529,2359,0.00,,65,46,,,NE,5,,,61,55,,549,0.16,97.1,60.3,
SJ_VALLEY.A,19980530,2359,0.00,,75,49,,,NE,5,,,64,56,,725,0.22,96.7,45.7,
SJ_VALLEY.A,19980531,2359,0.02,,71,46,,,NE,6,,,62,55,,582,0.17,100.0,65.8,
SJ_VALLEY.A,19980601,2359,0.00,,65,51,,,NE,6,,,61,56,,351,0.10,98.7,73.1,
SJ_VALLEY.A,19980602,2359,0.00,,67,49,,,NE,7,,,63,56,,510,0.16,98.1,63.8,
SJ_VALLEY.A,19980603,2359,0.00,,67,55,,,E,5,,,61,59,,250,0.07,95.3,63.6,
SJ_VALLEY.A,19980604,2359,0.01,,67,51,,,NE,5,,,63,58,,532,0.15,97.1,65.3,
SJ_VALLEY.A,19980605,2359,0.01,,71,48,,,NE,5,,,64,55,,572,0.18,98.8,67.2,
SJ_VALLEY.A,19980606,2359,0.01,,63,54,,,E,6,,,60,59,,180,0.04,96.5,78.0,
SJ_VALLEY.A,19980607,2359,0.04,,64,56,,,E,7,,,61,59,,254,0.06,97.6,78.2,
SJ_VALLEY.A,19980608,2359,0.00,,71,55,,,E,6,,,66,59,,516,0.16,97.2,67.2,
SJ_VALLEY.A,19980609,2359,0.00,,70,53,,,NE,6,,,65,59,,554,0.16,98.7,67.6,
SJ_VALLEY.A,19980610,2359,0.01,,66,56,,,E,8,,,64,60,,443,0.12,95.9,78.8,
SJ_VALLEY.A,19980611,2359,0.00,,63,48,,,E,8,,,62,56,,337,0.10,95.6,69.2,
SJ_VALLEY.A,19980612,2359,0.00,,68,46,,,NE,7,,,64,54,,517,0.15,99.6,68.5,
SJ_VALLEY.A,19980613,2359,0.02,,70,53,,,NE,6,,,66,59,,620,0.19,100.0,70.0,
SJ_VALLEY.A,19980614,2359,0.00,,87,50,,,NE,4,,,69,56,,711,0.24,100.0,48.0,
SJ_VALLEY.A,19980615,2359,0.02,,87,53,,,NE,4,,,71,59,,715,0.26,99.4,44.7,
SJ_VALLEY.A,19980616,2359,0.01,,76,51,,,NE,5,,,69,59,,642,0.21,100.0,49.2,
SJ_VALLEY.A,19980617,2359,0.00,,75,50,,,NE,7,,,69,58,,706,0.23,99.4,55.4,
SJ_VALLEY.A,19980618,2359,0.02,,79,48,,,NE,6,,,69,55,,726,0.24,100.0,44.4,
SJ_VALLEY.A,19980619,2359,0.00,,69,48,,,NE,7,,,68,57,,653,0.20,100.0,64.2,
SJ_VALLEY.A,19980620,2359,0.02,,67,50,,,E,8,,,67,57,,637,0.20,96.1,65.2,
SJ_VALLEY.A,19980621,2359,0.00,,69,56,,,E,8,,,69,61,,624,0.20,89.1,65.5,
SJ_VALLEY.A,19980622,2359,0.00,,70,55,,,E,8,,,68,61,,550,0.17,93.5,66.4,
SJ_VALLEY.A,19980623,2359,0.00,,67,56,,,E,9,,,68,62,,546,0.17,92.9,72.3,
SJ_VALLEY.A,19980624,2359,0.00,,68,55,,,E,8,,,69,61,,651,0.20,95.3,70.0,
SJ_VALLEY.A,19980625,2359,0.00,,71,52,,,E,6,,,70,61,,617,0.19,95.5,65.3,
SJ_VALLEY.A,19980626,2359,0.00,,77,47,,,NE,4,,,71,55,,707,0.23,100.0,41.8,
SJ_VALLEY.A,19980627,2359,0.02,,83,48,,,NE,5,,,71,55,,726,0.26,99.5,35.8,
SJ_VALLEY.A,19980628,2359,0.00,,74,52,,,NE,5,,,70,60,,624,0.20,99.9,49.8,
SJ_VALLEY.A,19980629,2359,0.00,,74,51,,,NE,5,,,71,59,,610,0.19,98.6,55.7,
SJ_VALLEY.A,19980630,2359,0.01,,74,50,,,NE,4,,,71,56,,636,0.20,99.8,54.8,
SJ_VALLEY.A,19980701,2359,0.01,,71,48,,,NE,5,,,70,55,,613,0.19,100.0,64.8,
SJ_VALLEY.A,19980702,2359,0.00,,62,52,,,E,7,,,64,59,,238,0.06,97.1,82.1,
SJ_VALLEY.A,19980703,2359,0.00,,72,52,,,NE,5,,,69,61,,622,0.19,98.5,68.9,
SJ_VALLEY.A,19980704,2359,0.00,,72,52,,,NE,6,,,69,61,,605,0.19,98.8,60.6,
SJ_VALLEY.A,19980705,2359,0.00,,74,52,,,NE,6,,,69,60,,642,0.21,100.0,60.1,
SJ_VALLEY.A,19980706,2359,0.00,,84,53,,,NE,5,,,71,61,,663,0.24,100.0,43.2,
SJ_VALLEY.A,19980707,2359,0.00,,87,51,,,NE,5,,,72,57,,705,0.27,100.0,39.1,
SJ_VALLEY.A,19980708,2359,0.00,,83,50,,,NE,6,,,71,57,,695,0.24,100.0,43.4,
SJ_VALLEY.A,19980709,1500,0.00,,76,54,,,NE,8,,,,,,788,0.19,100.0,61.3,
SJ_VALLEY.A,19980710,2359,0.00,,76,54,,,NE,4,,,73,60,,608,0.19,97.5,54.9,
SJ_VALLEY.A,19980711,2359,0.00,,81,55,,,NE,5,,,75,60,,713,0.24,96.7,49.4,
SJ_VALLEY.A,19980712,2359,0.00,,87,51,,,NE,5,,,75,55,,717,0.27,99.3,33.8,
SJ_VALLEY.A,19980713,2359,0.00,,83,51,,,NE,5,,,74,57,,712,0.25,99.3,43.6,
SJ_VALLEY.A,19980714,2359,0.00,,88,51,,,NE,4,,,75,56,,711,0.25,99.1,42.7,
SJ_VALLEY.A,19980715,2359,0.00,,99,56,,,NE,4,,,78,61,,710,0.27,94.4,29.6,
SJ_VALLEY.A,19980716,2359,0.00,,98,57,,,NE,4,,,79,62,,707,0.28,93.7,27.7,
SJ_VALLEY.A,19980717,2359,0.00,,86,52,,,NE,5,,,76,59,,700,0.25,98.8,42.2,
SJ_VALLEY.A,19980718,2359,0.00,,93,51,,,NE,5,,,77,57,,695,0.27,100.0,35.8,
SJ_VALLEY.A,19980719,2359,0.00,,81,55,,,NE,7,,,77,61,,685,0.26,96.9,52.1,
SJ_VALLEY.A,19980720,2359,0.00,,75,51,,,NE,7,,,74,57,,698,0.22,99.7,62.4,
SJ_VALLEY.A,19980721,2359,0.00,,76,54,,,NE,6,,,74,60,,618,0.20,99.8,56.5,
SJ_VALLEY.A,19980722,2359,0.00,,73,54,,,NE,6,,,74,61,,631,0.20,98.2,61.4,
SJ_VALLEY.A,19980723,2359,0.00,,70,54,,,E,7,,,73,61,,578,0.18,96.6,67.9,
SJ_VALLEY.A,19980724,2359,0.00,,71,54,,,NE,7,,,73,61,,544,0.17,97.7,71.9,
SJ_VALLEY.A,19980725,2359,0.00,,81,55,,,NE,6,,,76,60,,632,0.22,98.4,56.3,
SJ_VALLEY.A,19980726,2359,0.00,,82,54,,,NE,6,,,76,62,,617,0.22,100.0,47.0,
SJ_VALLEY.A,19980727,2359,0.00,,85,52,,,NE,5,,,77,57,,652,0.23,100.0,50.9,
SJ_VALLEY.A,19980728,2359,0.00,,81,54,,,NE,5,,,77,64,,671,0.23,98.0,49.4,
SJ_VALLEY.A,19980729,2359,0.00,,75,54,,,E,6,,,75,64,,618,0.20,98.9,56.6,
SJ_VALLEY.A,19980730,2359,0.00,,73,54,,,E,7,,,74,63,,605,0.20,96.3,61.6,
SJ_VALLEY.A,19980731,2359,0.00,,79,57,,,NE,5,,,75,64,,610,0.20,97.3,51.8,
SJ_VALLEY.A,19980801,2359,0.02,,88,54,,,NE,5,,,78,60,,664,0.25,99.4,44.5,
SJ_VALLEY.A,19980802,2359,0.02,,96,56,,,NE,5,,,79,60,,667,0.26,98.1,35.5,
SJ_VALLEY.A,19980803,2359,0.02,,108,57,,,NE,3,,,81,62,,671,0.27,96.3,20.0,
SJ_VALLEY.A,19980804,2359,0.01,,100,58,,,NE,6,,,82,63,,658,0.29,96.9,29.2,
SJ_VALLEY.A,19980805,2359,0.00,,90,56,,,NE,6,,,80,63,,647,0.25,100.0,38.3,
SJ_VALLEY.A,19980806,2359,0.00,,82,56,,,NE,5,,,78,63,,622,0.22,100.0,51.1,
SJ_VALLEY.A,19980807,2359,0.02,,82,51,,,NE,5,,,77,59,,654,0.22,100.0,38.5,
SJ_VALLEY.A,19980808,2359,0.02,,79,49,,,NE,5,,,76,58,,619,0.20,100.0,45.4,
SJ_VALLEY.A,19980809,2359,0.02,,84,48,,,NE,4,,,77,56,,659,0.22,100.0,38.6,
SJ_VALLEY.A,19980810,2359,0.01,,90,51,,,NE,5,,,78,58,,643,0.26,99.9,29.4,
SJ_VALLEY.A,19980811,2359,0.00,,96,55,,,NE,5,,,81,61,,625,0.26,95.9,26.2,
SJ_VALLEY.A,19980812,2359,0.01,,93,56,,,NE,5,,,81,61,,629,0.26,95.8,35.2,
SJ_VALLEY.A,19980813,2359,0.00,,90,55,,,NE,6,,,80,62,,599,0.24,99.3,33.3,
SJ_VALLEY.A,19980814,2359,0.12,,88,56,,,NE,5,,,75,63,,489,0.17,99.2,43.2,
SJ_VALLEY.A,19980815,2359,0.11,,72,54,,,NE,6,,,71,60,,547,0.17,100.0,69.4,
SJ_VALLEY.A,19980816,2359,0.10,,76,52,,,NE,6,,,71,57,,593,0.19,100.0,61.3,
SJ_VALLEY.A,19980817,2359,0.07,,72,51,,,E,7,,,69,57,,629,0.20,99.4,59.0,
SJ_VALLEY.A,19980818,2359,0.06,,68,52,,,E,8,,,68,60,,599,0.19,95.5,65.7,
SJ_VALLEY.A,19980819,2359,0.06,,70,53,,,E,7,,,69,59,,581,0.19,95.5,65.0,
SJ_VALLEY.A,19980820,2359,0.08,,76,56,,,NE,5,,,70,61,,582,0.19,96.1,53.0,
SJ_VALLEY.A,19980821,2359,0.04,,78,48,,,NE,5,,,71,56,,619,0.20,99.0,49.3,
SJ_VALLEY.A,19980822,2359,0.08,,85,50,,,NE,4,,,71,54,,626,0.22,99.6,35.9,
SJ_VALLEY.A,19980823,2359,0.07,,84,49,,,NE,4,,,71,54,,639,0.22,98.3,39.0,
SJ_VALLEY.A,19980824,2359,0.09,,82,51,,,NE,6,,,70,55,,618,0.21,99.4,41.9,
SJ_VALLEY.A,19980825,2359,0.05,,70,52,,,NE,7,,,68,58,,567,0.17,98.6,69.1,
SJ_VALLEY.A,19980826,2359,0.08,,78,53,,,NE,5,,,70,60,,531,0.17,100.0,49.5,
SJ_VALLEY.A,19980827,2359,0.11,,87,47,,,NE,4,,,71,57,,601,0.21,100.0,42.0,
SJ_VALLEY.A,19980828,2359,0.11,,92,50,,,NE,3,,,,,,591,0.21,99.8,31.9,
SJ_VALLEY.A,19980829,2359,0.08,,90,56,,,NE,4,,,73,60,,586,0.21,96.6,41.1,
SJ_VALLEY.A,19980830,2359,0.11,,88,54,,,NE,4,,,72,58,,603,0.21,98.5,35.6,
SJ_VALLEY.A,19980831,2359,0.11,,87,52,,,NE,5,,,71,57,,586,0.20,97.8,46.2,
SJ_VALLEY.A,19980901,2359,0.00,,89,53,,,NE,5,,,72,57,,564,0.21,99.8,44.5,
SJ_VALLEY.A,19980902,2359,0.00,,94,52,,,NE,5,,,72,56,,558,0.20,100.0,41.0,
SJ_VALLEY.A,19980903,2359,0.00,,87,55,,,NE,5,,,71,60,,545,0.21,99.4,40.2,
SJ_VALLEY.A,19980904,2359,0.01,,81,59,,,NE,6,,,71,61,,473,0.17,95.9,59.0,
SJ_VALLEY.A,19980905,2359,0.00,,86,62,,,NE,5,,,74,64,,531,0.19,98.0,55.6,
SJ_VALLEY.A,19980906,2359,0.00,,92,65,,,NE,4,,,75,66,,472,0.19,92.8,46.6,
SJ_VALLEY.A,19980907,2359,0.00,,91,61,,,NE,5,,,76,64,,525,0.21,91.8,45.0,
SJ_VALLEY.A,19980908,2359,0.00,,77,57,,,NE,6,,,71,62,,475,0.16,99.1,59.7,
SJ_VALLEY.A,19980909,2359,0.01,,65,57,,,E,9,,,67,61,,524,0.16,88.4,69.0,
SJ_VALLEY.A,19980910,1500,0.00,,87,52,,,NE,5,,,,,,515,0.18,93.9,33.0,
SJ_VALLEY.A,19980911,2359,0.00,,84,50,,,NE,4,,,68,55,,536,0.19,96.8,35.8,
SJ_VALLEY.A,19980912,2359,0.00,,84,52,,,NE,5,,,71,56,,529,0.20,97.2,39.2,
SJ_VALLEY.A,19980913,2359,0.00,,87,55,,,NE,5,,,72,58,,530,0.19,99.2,47.4,
SJ_VALLEY.A,19980914,2359,0.00,,74,57,,,E,6,,,69,61,,501,0.15,100.0,68.5,
SJ_VALLEY.A,19980915,2359,0.00,,72,54,,,NE,6,,,67,59,,377,0.11,99.4,68.1,
SJ_VALLEY.A,19980916,2359,0.00,,80,52,,,E,4,,,70,58,,472,0.15,100.0,52.2,
